row,issue,div_id,neigh_jaccard
451,issue_1,bloy_texto_citado,0.0
453,issue_1,bloy_texto_citado,0.0
457,issue_1,bloy_texto_citado,0.0
458,issue_1,bloy_texto_citado,0.0
459,issue_1,bloy_texto_citado,0.0
461,issue_1,bloy_texto_citado,0.0
462,issue_1,bloy_texto_citado,0.0
463,issue_1,bloy_texto_citado,0.0
465,issue_1,bloy_texto_citado,0.0
467,issue_1,bloy_texto_citado,0.0
468,issue_1,bloy_texto_citado,0.0
470,issue_1,bloy_texto_citado,0.0
471,issue_1,bloy_texto_citado,0.0
475,issue_1,bloy_texto_citado,0.0
477,issue_1,bloy_texto_citado,0.0
478,issue_1,bloy_texto_citado,0.0
481,issue_1,bloy_texto_citado,0.0
482,issue_1,bloy_texto_citado,0.0
485,issue_1,bloy_texto_citado,0.0
486,issue_1,bloy_texto_citado,0.0
488,issue_1,bloy_texto_citado,0.0
489,issue_1,bloy_texto_citado,0.0
492,issue_1,bloy_texto_citado,0.0
495,issue_1,bloy_texto_citado,0.0
497,issue_1,bloy_texto_citado,0.0
498,issue_1,bloy_texto_citado,0.0
500,issue_1,bloy_texto_citado,0.0
502,issue_1,bloy_texto_citado,0.0
504,issue_1,bloy_texto_citado,0.0
505,issue_1,bloy_texto_citado,0.0
506,issue_1,bloy_texto_citado,0.0
507,issue_1,bloy_texto_citado,0.0
509,issue_1,bloy_texto_citado,0.0
510,issue_1,bloy_texto_citado,0.0
511,issue_1,bloy_texto_citado,0.0
512,issue_1,bloy_texto_citado,0.0
513,issue_1,bloy_texto_citado,0.0
514,issue_1,bloy_texto_citado,0.0
516,issue_1,bloy_texto_citado,0.0
518,issue_1,bloy_texto_citado,0.0
519,issue_1,bloy_texto_citado,0.0
520,issue_1,bloy_texto_citado,0.0
522,issue_1,bloy_texto_citado,0.0
523,issue_1,bloy_texto_citado,0.0
524,issue_1,bloy_texto_citado,0.0
526,issue_1,bloy_texto_citado,0.0
527,issue_1,bloy_texto_citado,0.0
529,issue_1,bloy_texto_citado,0.0
530,issue_1,bloy_texto_citado,0.0
531,issue_1,bloy_texto_citado,0.0
532,issue_1,bloy_texto_citado,0.0
534,issue_1,bloy_texto_citado,0.0
539,issue_1,bloy_texto_citado,0.0
540,issue_1,bloy_texto_citado,0.0
541,issue_1,bloy_texto_citado,0.0
542,issue_1,bloy_texto_citado,0.0
543,issue_1,bloy_texto_citado,0.0
544,issue_1,bloy_texto_citado,0.0
545,issue_1,bloy_texto_citado,0.0
547,issue_1,bloy_texto_citado,0.0
549,issue_1,bloy_texto_citado,0.0
550,issue_1,bloy_texto_citado,0.0
551,issue_1,bloy_texto_citado,0.0
552,issue_1,bloy_texto_citado,0.0
553,issue_1,bloy_texto_citado,0.0
554,issue_1,bloy_texto_citado,0.0
555,issue_1,bloy_texto_citado,0.0
556,issue_1,bloy_texto_citado,0.0
558,issue_1,bloy_texto_citado,0.0
559,issue_1,bloy_texto_citado,0.0
561,issue_1,bloy_texto_citado,0.0
562,issue_1,bloy_texto_citado,0.0
564,issue_1,bloy_texto_citado,0.0
566,issue_1,bloy_texto_citado,0.0
567,issue_1,bloy_texto_citado,0.0
568,issue_1,bloy_texto_citado,0.0
569,issue_1,bloy_texto_citado,0.0
571,issue_1,bloy_texto_citado,0.0
574,issue_1,bloy_texto_citado,0.0
575,issue_1,bloy_texto_citado,0.0
576,issue_1,bloy_texto_citado,0.0
577,issue_1,bloy_texto_citado,0.0
579,issue_1,bloy_texto_citado,0.0
580,issue_1,bloy_texto_citado,0.0
582,issue_1,bloy_texto_citado,0.0
583,issue_1,bloy_texto_citado,0.0
584,issue_1,bloy_texto_citado,0.0
586,issue_1,bloy_texto_citado,0.0
587,issue_1,bloy_texto_citado,0.0
589,issue_1,bloy_texto_citado,0.0
591,issue_1,bloy_texto_citado,0.0
594,issue_1,bloy_texto_citado,0.0
595,issue_1,bloy_texto_citado,0.0
596,issue_1,bloy_texto_citado,0.0
597,issue_1,bloy_texto_citado,0.0
598,issue_1,bloy_texto_citado,0.0
599,issue_1,bloy_texto_citado,0.0
601,issue_1,bloy_texto_citado,0.0
602,issue_1,bloy_texto_citado,0.0
603,issue_1,bloy_texto_citado,0.0
604,issue_1,bloy_texto_citado,0.0
605,issue_1,bloy_texto_citado,0.0
606,issue_1,bloy_texto_citado,0.0
607,issue_1,bloy_texto_citado,0.0
610,issue_1,bloy_texto_citado,0.0
611,issue_1,bloy_texto_citado,0.0
612,issue_1,bloy_texto_citado,0.0
613,issue_1,bloy_texto_citado,0.0
614,issue_1,bloy_texto_citado,0.0
615,issue_1,bloy_texto_citado,0.0
616,issue_1,bloy_texto_citado,0.0
617,issue_1,bloy_texto_citado,0.0
618,issue_1,bloy_texto_citado,0.0
619,issue_1,bloy_texto_citado,0.0
620,issue_1,bloy_texto_citado,0.0
621,issue_1,bloy_texto_citado,0.0
623,issue_1,bloy_texto_citado,0.0
624,issue_1,bloy_texto_citado,0.0
625,issue_1,bloy_texto_citado,0.0
627,issue_1,bloy_texto_citado,0.0
628,issue_1,bloy_texto_citado,0.0
634,issue_1,bloy_texto_citado,0.0
635,issue_1,bloy_texto_citado,0.0
637,issue_1,bloy_texto_citado,0.0
638,issue_1,bloy_texto_citado,0.0
639,issue_1,bloy_texto_citado,0.0
640,issue_1,bloy_texto_citado,0.0
641,issue_1,bloy_texto_citado,0.0
642,issue_1,bloy_texto_citado,0.0
643,issue_1,bloy_texto_citado,0.0
644,issue_1,bloy_texto_citado,0.0
647,issue_1,bloy_texto_citado,0.0
648,issue_1,bloy_texto_citado,0.0
649,issue_1,bloy_texto_citado,0.0
650,issue_1,bloy_texto_citado,0.0
651,issue_1,bloy_texto_citado,0.0
652,issue_1,bloy_texto_citado,0.0
654,issue_1,bloy_texto_citado,0.0
655,issue_1,bloy_texto_citado,0.0
656,issue_1,bloy_texto_citado,0.0
657,issue_1,bloy_texto_citado,0.0
660,issue_1,bloy_texto_citado,0.0
661,issue_1,bloy_texto_citado,0.0
663,issue_1,bloy_texto_citado,0.0
664,issue_1,bloy_texto_citado,0.0
665,issue_1,bloy_texto_citado,0.0
666,issue_1,bloy_texto_citado,0.0
668,issue_1,bloy_texto_citado,0.0
669,issue_1,bloy_texto_citado,0.0
673,issue_1,bloy_texto_citado,0.0
674,issue_1,bloy_texto_citado,0.0
675,issue_1,bloy_texto_citado,0.0
678,issue_1,bloy_texto_citado,0.0
679,issue_1,bloy_texto_citado,0.0
681,issue_1,bloy_texto_citado,0.0
682,issue_1,bloy_texto_citado,0.0
684,issue_1,bloy_texto_citado,0.0
686,issue_1,bloy_texto_citado,0.0
687,issue_1,bloy_texto_citado,0.0
688,issue_1,bloy_texto_citado,0.0
691,issue_1,bloy_texto_citado,0.0
692,issue_1,bloy_texto_citado,0.0
694,issue_1,bloy_texto_citado,0.0
695,issue_1,bloy_texto_citado,0.0
696,issue_1,bloy_texto_citado,0.0
