pair_class,n_pairs,median,iqr_low,iqr_high,cliffs_delta_vs_AD,mw_p_vs_AD
A↔A,50000,0.32594794034957886,0.2714155614376068,0.38270023465156555,0.3211829864,0.0
A↔B,50000,0.34545937180519104,0.28793367743492126,0.3998655080795288,0.4273391836,0.0
A↔C,4655,0.349848210811615,0.28325122594833374,0.41038358211517334,0.4222632867883996,0.0
A↔D,50000,0.278852254152298,0.22870387136936188,0.33244460821151733,0.0,1.0
A↔B (no Blanchot),50000,0.34543731808662415,0.28801119327545166,0.3992072343826294,0.4275262676,0.0
A↔D (no Blanchot),50000,0.27863335609436035,0.22852247953414917,0.3325745463371277,0.0001277048,0.9721011785400565
